FromDevice,ToDevice,OperatingSystem,IPAddress,MACAddress,Low Port,High Port,Protocol,Service,Boundary 1,Boundary 2,Boundary 3,Boundary 4,Boundary 5,Boundary 6,Boundary 7,Boundary 8,Boundary 9,Boundary 10,Boundary 11,Boundary 12,Boundary 13,Boundary 14,Boundary 15,Boundary 16
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,123,,udp,ntp?,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,135,,tcp,epmap,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,137,,udp,netbios-ns,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,138,,udp,netbios-dgm?,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,139,,tcp,smb,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,445,,tcp,cifs,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,500,,udp,isakmp?,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,3702,,udp,upnp-discovery?,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,4500,,udp,ipsec-nat-t?,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,5353,,udp,mdns?,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,5355,,udp,llmnr,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,5357,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,5985,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,47001,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,49664,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,49665,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,49666,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,49667,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,49668,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,49670,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,49671,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,49811,,tcp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,54022,,udp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,54023,,udp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-01,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.10,02:30:00:00:00:0a,56288,,udp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,123,,udp,ntp?,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,135,,tcp,epmap,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,137,,udp,netbios-ns,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,138,,udp,netbios-dgm?,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,139,,tcp,smb,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,445,,tcp,cifs,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,500,,udp,isakmp?,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,3702,,udp,upnp-discovery?,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,4500,,udp,ipsec-nat-t?,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,5353,,udp,mdns?,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,5355,,udp,llmnr,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,5357,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,5985,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,47001,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,49664,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,49665,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,49666,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,49667,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,49668,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,49669,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,49671,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,49685,,tcp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,51590,,udp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-02,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.12,02:30:00:00:00:0c,51591,,udp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,123,,udp,ntp?,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,135,,tcp,epmap,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,137,,udp,netbios-ns,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,138,,udp,netbios-dgm?,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,139,,tcp,smb,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,445,,tcp,cifs,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,500,,udp,isakmp?,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,3702,,udp,upnp-discovery?,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,4500,,udp,ipsec-nat-t?,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,5353,,udp,mdns?,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,5355,,udp,llmnr,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,5357,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,5985,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,47001,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,49664,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,49665,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,49666,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,49667,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,49668,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,49670,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,49671,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,49813,,tcp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,58866,,udp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-SQL,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.13,02:30:00:00:00:0d,64104,,udp,unknown,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,80,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,123,,udp,ntp?,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,135,,tcp,epmap,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,137,,udp,netbios-ns,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,138,,udp,netbios-dgm?,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,139,,tcp,smb,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,445,,tcp,cifs,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,500,,udp,isakmp?,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,4500,,udp,ipsec-nat-t?,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,5353,,udp,mdns?,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,5355,,udp,llmnr,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,5985,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,47001,,tcp,www,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,49664,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,49665,,tcp,dce-rpc,,,,,,,,,,,,,,,,
SOT-WIN2K22-WEB,SOT-WIN2K22-DOM1,Windows 2022 Server,192.168.30.14,02:30:00:00:00:0e,49666,,tcp,dce-rpc,,,,,,,,,,,,,,,,
